【每股收益(元)】	【每股净资产(元)】	【调整后净资产(元)】	【股东权益比率(％)】	【每股未分利润(元)】	【主营收入增长率(％)】	【主营业务利润率(％)】	【股东权益增长率(％)】	【流动比率】	【速动比率】	【应收帐款周转率】	【资产负债比(％)】
0.904665314	0.418181818	0.512793551	0.708042546	0.855260898	0.225459217	0.632920792	0.493240475	0.116850552	0.112911657	0.108571429	0.12587396
0.46653144	0.359440559	0.449702068	0.988312453	0.802099944	0.154565552	0.544966997	0.992261823	0.063691073	0.064296916	0.055449735	0.096746407
0.405679513	0.348251748	0.434513378	0.841776675	0.786767412	0.11574476	0.51460396	0.42555419	0.061685055	0.072660742	0.006137566	0.108015796
0.518255578	0.381258741	0.475406005	0.838371311	0.811790104	0.11574476	0.63960396	0.42555419	0.027582748	0.044432828	0.019047619	0.092661299
0.516227181	0.436363636	0.523308798	0.141175481	0.820253661	0.11574476	0.782838284	0.42555419	0.355065196	0.372190277	0.014814815	0.549885601
0.435091278	0.394405594	0.491763056	0.723703019	0.802124476	0.11574476	0.568481848	0.42555419	0.09227683	0.106116048	0.009100529	0.123470519
0.551724138	0.942657343	0.948592125	0.141028336	0.805951476	0.11574476	0.698349835	0.42555419	0.400702106	0.404077365	0.040846561	0.429202246
0.557809331	0.563636364	0.616777661	0.618094678	0.809557687	0.11574476	0.657590759	0.42555419	0.158976931	0.155776268	0.056719577	0.189525322
0.456389452	0.321678322	0.428671574	0.921024973	0.810661629	0.11574476	0.707590759	0.42555419	0.090772317	0.084161004	0.023915344	0.099669147
0.420892495	0	0.164622035	0	0.789318745	0.11574476	0.412293729	0.42555419	0.043630893	0.051751176	0.028994709	0.083618613
0.588235294	0.415384615	0.510456829	0.882283696	0.786497559	0.15042189	0.509570957	0.952478492	0.045135406	0.051751176	0.098835979	0.107180297
0.46653144	0.523076923	0.599252249	0.140082401	0.792434315	0.11574476	0.945957096	0.42555419	0.380641926	0.41348667	0.015873016	0.421371408
0.567951318	0.391608392	0.490594696	0.516270075	0.872212546	0.143245715	0.541006601	0.917338067	0.039618857	0.022477784	0.148783069	0.164908002
0.490872211	0.482517483	0.565369786	0.299524931	0.83278954	0.11574476	0.662458746	0.42555419	0.317953862	0.301620491	0.036190476	0.388932055
0.470588235	0.425174825	0.513961911	0.268519297	0.79248338	0.11574476	0.717161716	0.42555419	0.285356068	0.313643492	0.01989418	0.275253749
0.517241379	0.688111888	0.738287183	0.234003195	0.816009617	0.11574476	0.762541254	0.42555419	0.243731194	0.25927862	0.02962963	0.307739548
0.475659229	0.46013986	0.546676014	0.465504919	0.780757059	0.11574476	0.603465347	0.42555419	0.183049147	0.171458442	0.020529101	0.17962777
