【每股收益(元)】	【每股净资产(元)】	【调整后净资产(元)】	【净资产收益率(％)】	【股东权益比率(％)】	【每股未分利润(元)】	【主营收入增长率(％)】	【主营利润增长率(％)】	【主营业务利润率(％)】	【总资产增长率(％)】	【股东权益增长率(％)】	【每股收益增长率(％)】	【流动比率】	【速动比率】	【应收帐款周转率】	【存货周转率】	【资产负债比(％)】
0.08	4.86	4.76	1.72	70.773	0.0685	72.09	74.55	54.23	212.04	348.58	63.46	2.94	2.92	12.58	11.89	28.05
0.09	3.39	3.36	2.6	69.844	0.1522	-12.76	3.52	43.36	107.12	197.23	-23.8	2.54	2.03	0.92	0.36	29.43
0.068	3.62	3.61	1.89	79.501	0.1464	-17.42	-32.42	16.77	139.79	220.09	-54.38	4.62	4.35	10.49	2.93	16.79
0.18	5.17	5.15	3.43	82.278	0.2193	32.48	24.88	17.46	177.23	432.06	2.96	5.09	4.41	5.93	2.76	16.7
0.28	7.683	7.682	3.65	83.863	0.2807	0	0	19.32	0	0	0	6.07	5.51	0	1.06	14.71
0.142	3.524	3.25	4.039	43.865	0.1696	10.49	12.21	43.73	24.22	-1.55	-10.8	1.81	1.63	1.35	1.12	49.48
-0.064	0.033	-0.04	-194.83	3.975	-1.2243	-67.1	100.44	0.46	-19.99	-89.23	-27.12	0.41	0.3	0.06	0.16	96.03
0.07	2.12	2.11	3.27	61.482	0.0628	-5.63	-27.45	29.07	-0.72	-1.95	-13.74	0.84	0.84	3	0	37.83
0.232	2.604	2.588	8.9	67.959	0.1537	30.34	29.37	9.87	43.94	141.35	-12.69	1.41	1.1	13.17	6.97	32.04
0.067	2.481	2.481	2.68	71.487	0.3073	9.71	1.03	10	13.36	29.31	-27.86	1.85	1.56	80.81	5.09	2140000
0.27	4.83	4.56	5.59	50.235	0.2414	69.67	67.25	21.08	20.22	7.55	48.76	2.02	0.54	9.45	0.52	48.79
-0.1	-1.729	-2.295	5.773	-22.452	-4.6264	-26.38	-30.92	20.67	-11.27	-1968.21	53.48	0.61	0.27	0.17	0.08	122.45
0.022	0.509	0.01	4.26	9.849	-1.179	-4.2	24.38	33.5	14.12	55.15	10.99	0.94	0.29	0.7	0.1	88.88
0.117	2.71	2.68	4.31	67.956	0.0939	3.26	-2.69	37.28	-6.61	0.47	-1.26	1.06	0.53	3.9	0.62	30.78
0.086	1.883	1.794	4.543	21.24	-0.0732	19.51	30.26	18.38	5.68	4.07	41.72	1.23	1.14	0.65	2.81	72.86
